,house id,number of crimes,Assault,Breaking & Entering,Drugs,Property Crime,Robbery,Theft,Theft from Vehicle,Theft of Vehicle
312,1860600135,0,,,,,,,,
313,4139480200,41,2.0,11.0,1.0,8.0,,1.0,18.0,
314,4139480200,41,2.0,11.0,1.0,8.0,,1.0,18.0,
315,1328320800,926,57.0,208.0,21.0,247.0,8.0,110.0,182.0,93.0
316,7771300125,1,,,,1.0,,,,
317,3422059208,38,2.0,19.0,3.0,4.0,,6.0,1.0,3.0
318,9521101455,4,,1.0,,2.0,,,1.0,
319,4337000335,20,,1.0,1.0,5.0,1.0,4.0,6.0,2.0
320,325059286,3,,1.0,,,,1.0,1.0,
321,2597650240,19,,5.0,,3.0,,1.0,10.0,
322,3353400435,37,,16.0,1.0,5.0,,7.0,4.0,4.0
323,7972000240,12,,1.0,,,,4.0,4.0,3.0
324,7520000520,1953,180.0,293.0,83.0,495.0,55.0,270.0,244.0,333.0
325,7520000520,1953,180.0,293.0,83.0,495.0,55.0,270.0,244.0,333.0
326,3530210260,188,9.0,67.0,3.0,49.0,,17.0,38.0,5.0
327,1959700550,4,,1.0,1.0,1.0,,,,1.0
328,1665400045,18,1.0,1.0,,3.0,,4.0,6.0,3.0
329,9542850320,0,,,,,,,,
330,3179100060,2,,,,,,,,2.0
331,2946001550,1,,,,1.0,,,,
332,8078490390,37,2.0,15.0,3.0,8.0,1.0,6.0,1.0,1.0
333,9550201550,4,1.0,,,,1.0,,,2.0
334,191100045,0,,,,,,,,
335,5009600070,190,12.0,71.0,3.0,44.0,,30.0,23.0,7.0
336,200350070,49,3.0,11.0,2.0,12.0,,7.0,13.0,1.0
337,2877103726,1,,1.0,,,,,,
338,405100295,1,,,,1.0,,,,
339,4268200055,1087,86.0,334.0,28.0,243.0,24.0,133.0,137.0,102.0
340,3126069068,70,6.0,13.0,,18.0,,11.0,19.0,3.0
341,1115300070,80,2.0,22.0,,18.0,1.0,7.0,25.0,5.0
342,6414100671,11,1.0,1.0,4.0,2.0,,1.0,2.0,
343,7004200060,42,2.0,19.0,2.0,10.0,,5.0,3.0,1.0
344,7852110140,18,4.0,4.0,,5.0,,3.0,2.0,
345,3969300030,2879,336.0,768.0,104.0,770.0,87.0,287.0,248.0,279.0
